,ID,Title,Overall_Rating,Best_Rating,Worst_Rating,No_of_Ratings,Category,Subcategory,Topic,Instructor,Language,SkillsFuture,No_of_Practice_Test,No_of_Articles,No_of_Coding_Exercises,Video_Duration,No_of_Additional_Resources,Bestseller,Price,Discounted_Price
0,3546572,Kettlebell Interval Training and High-Intensity,5.0,5,0.5,8,Health & Fitness,Fitness,Kettlebell,Taco Fleur,English,False,0,10,0,2.5 hours,1,No,29.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,4178168,Spacecraft Propulsion and Rendezvous,0,0,0,0,Teaching & Academics,Engineering,Aerospace Engineering,Dr. Goteti Satyanarayana,English,False,0,0,0,11 hours,0,No,49.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,2533140,Self-awareness Basics: Your Core Values Guide to Purpose,4.9,5,0.5,42,Personal Development,Happiness,Life Purpose,Samantha Sacchi Muci,English,False,0,3,0,33 mins,1,No,68.98,
0,707062,FNB Calculations (Drinks + Stock Take),5.0,5,0.5,3,Business,Operations,Stock Trading,Ales Olasz,English,False,0,0,0,1 hour,5,No,40.98,
0,3623384,First Aid Masterclass: A Complete Guide to First Aid,4.6,5,0.5,110,Health & Fitness,Safety & First Aid,First Aid,Uri Naor,English,False,0,2,0,5.5 hours,28,No,128.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,4147028,"Learn how to use and get Images, Icons & Illustrations",4.3,5,0.5,43,Design,Design Tools,Web Design,Deepak Sahni,English,False,0,0,0,1 hour,3,No,29.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,1479516,Complete Wordpress Course | Elementor,4.4,5,0.5,2427,Design,Web Design,WordPress,Ferdy Korpershoek,English,False,0,0,0,7 hours,0,No,88.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,4073032,"Make whipped Soap, Make Coca Butter & Shea Butter Soap",0,0,0,0,Lifestyle,Arts & Crafts,Soapmaking,Nida Tanveer,English,False,0,0,0,32 mins,0,No,128.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,351142,Personal Communication-Introduce Yourself With Confidence,4.4,5,0.5,319,Personal Development,Personal Brand Building,Communication Skills,TJ Walker,English,False,0,4,0,1 hour,3,No,128.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,4038346,Intro to Portrait Photography,0,0,0,0,Photography & Video,Portrait Photography,,Gus Cantavero,English,False,0,0,0,2 hours,2,No,49.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,1868778,100 Aikido Ukemi Build Up - Beginner's Level,4.6,5,0.5,70,Health & Fitness,Sports,Martial Arts,Rokas Leonavicius,English,False,0,0,0,2 hours,1,No,34.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,4091326,Theory of Graph | Calculus | Transformation of Graph,0,0,0,0,Teaching & Academics,Math,,Mathiit Digital,English,False,1,1,0,4.5 hours,1,No,29.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,16429,CCNP All-in-1 Video Boot Camp With Chris Bryant,4.7,5,0.5,7784,IT & Software,IT Certifications,CCNP Routing and Switching,Chris Bryant,English,False,0,0,0,62 hours,0,No,59.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,1560664,"Chatbot for Websites using Facebook Messenger, No Coding",5.0,5,0.5,1,Marketing,Digital Marketing,Chatbot,Sayed N,English,False,0,0,0,1.5 hours,0,No,59.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,1411430,Learn UI Mobile App Design & Game Mechanics in Construct 2,5.0,5,0.5,2,Development,Mobile Development,Mobile App Design,Mammoth Interactive,English,False,0,23,0,67.5 hours,19,No,128.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
0,3188430,Circadian Lighting. Human Centric Lighting,4.7,5,0.5,5,Design,Architectural Design,Enlightenment,Álvaro Jiménez,English,False,0,0,0,2.5 hours,4,No,40.98,"{'amount': 18.0, 'currency': 'SGD', 'price_string': 'S$18', 'currency_symbol': 'S$'}"
