,Title,Overall_Rating,Best_Rating,Worst_Rating,No_of_Ratings,Category,Subcategory,Topic,Instructor,Language,SkillsFuture,No_of_Practice_Test,No_of_Articles,No_of_Coding_Exercises,Video_Duration_Hr,No_of_Additional_Resources,Bestseller,Price,Discounted_Price
3358,Theme Park Design,4.5,5,0.5,255,Teaching & Academics,Other Teaching & Academics,Theme Park Design,Steve Alcorn,English,False,0,0,0,6.5,54,No,104.98,22.0
3359,Stop Struggling To Get By: Apply To Top 25 Grant Programs ,4.2,5,0.5,44,Finance & Accounting,Other Finance & Accounting,AP US Government and Politics,Matthew Lesko,English,False,0,0,0,1.0,0,No,29.98,29.98
3360,Assertive Communication: Award-Winning Assertiveness Course,3.9,5,0.5,112,Personal Development,Self Esteem & Confidence,Communication Skills,Experts Zone,English,False,0,0,0,0.6666666666666666,0,No,128.98,22.0
3361,Golden Class: Vigilant Business Pricing,5.0,5,0.5,2,Marketing,Marketing Fundamentals,Pricing,Eric Yeboah,English,False,0,0,0,1.5,0,No,108.98,22.0
3362,CREATE A CHURCH WEBSITE: A-Z Web Design For Total Beginners!,4.8,5,0.5,4,Design,Web Design,Unknown,Ryan Breitkreutz,English,False,0,0,0,9.0,0,No,29.98,22.0
3363,Best QA Manual Software Testing: Live Project+Agile+Jira+API,4.1,5,0.5,3208,IT & Software,Other IT & Software,Agile,Richa Mehta,English,False,0,1,0,4.0,5,No,68.98,22.0
3364,SEO by an Award Winning Agency⎢Certificate Course 2021,4.2,5,0.5,8,Marketing,Search Engine Optimization,SEO,ELITEx Mentor,English,False,0,1,0,16.0,0,No,128.98,22.0
3365,SBCV Introduction to Disaster Relief,4.0,5,0.5,710,Personal Development,Other Personal Development,Disaster Recovery,Mark Gauthier,English,False,0,0,0,3.0,0,No,29.98,23.0
3366,Crochet Silent Book for Babies,5.0,5,0.5,2,Lifestyle,Arts & Crafts,Crochet,Emese Liliom,English,False,0,2,0,3.0,5,No,64.98,22.0
3367,Personal Branding – Easy & Powerful Hacks to Brand Yourself,4.8,5,0.5,2,Personal Development,Personal Brand Building,Personal Branding,Tivian Academy,English,False,0,0,0,1.5,0,No,29.98,29.98
3368,Company Valuation & Financial Modeling,4.4,5,0.5,1838,Finance & Accounting,Finance,Company Valuation,Ashish Agarwal,English,False,0,12,0,6.0,5,No,88.98,22.0
3369,Microsoft Excel For Professionals (Zero to Advanced Course),4.7,5,0.5,18,Development,Software Development Tools,Excel,Manoj Sonawane,English,False,2,0,0,5.0,0,No,29.98,22.0
3370,Comparing Agile vs Waterfall Project Management,4.4,5,0.5,3793,Business,Project Management,Unknown,Chris Croft,English,False,0,0,0,2.0,0,No,108.98,22.0
3371,Blogging; Travel Writing; Travel Content Writing Certificate,4.2,5,0.5,36,Lifestyle,Travel,Travel Writing,"Crystal Hutchinson Tummala, J.D.",English,False,0,0,0,2.0,1,No,59.98,22.0
3372,Business Process Modeling A-Z™: Learn BPMN 2.0 From Scratch,4.5,5,0.5,2801,Business,Project Management,Business Process Modeling,Ilya Eremenko,English,False,0,3,0,2.5,19,No,138.98,22.0
3373,The Emergency Medical System,3.9,5,0.5,35,Health & Fitness,Safety & First Aid,Emergency Medicine,Arthur Jackson,English,False,0,0,0,0.6,1,No,29.98,22.0
3374,Urban Krav Maga: Defending Knife Threats and Attacks,4.4,5,0.5,53,Health & Fitness,Self Defense,Krav Maga,Stewart McGill,English,False,0,0,0,1.0,0,No,34.98,23.0
3375,Windows Server 2019 Administration,4.7,5,0.5,203,IT & Software,Operating Systems & Servers,Windows Server,Kevin Brown,English,False,0,0,0,21.0,5,No,40.98,22.0
